node,score
PPP2CA,0.00017087603702229542
ROCK1,0.00017053172694617526
CCNA1,0.00016554892775444294
H3C12,0.00016468488218823702
CALM3,0.00016340686849731755
H3C13,0.0001625921268492761
CALML3,0.0001616499093111912
AGO2,0.00016157399881576608
MAP2K3,0.0001607147147223647
CCNL2,0.00016025655364570483
CALML4,0.0001601983149149481
CALML6,0.0001601790432531901
CDC6,0.00016017067293793964
EXO1,0.00015962017745068332
RBX1,0.00015923189493632122
PTK2,0.00015916456107010964
SKP1,0.00015856986447430413
PRKCB,0.00015769252872249024
IDH1,0.00015761924107585802
BARD1,0.00015688321439643785
RPA1,0.00015574135079213868
CXCL8,0.0001543601630449086
CCNE2,0.00015426037620523117
PRKCG,0.00015397234043850098
IRS2,0.0001538536853977549
ATR,0.0001537054451201215
LEP,0.00015336067698827524
TRRAP,0.00015271104328813602
LAMTOR3,0.0001527095795712588
RPS6KA1,0.00015262419267691953
FOXM1,0.00015249991625206018
TFDP1,0.00015189977269246843
E2F3,0.00015160040571034856
FZR1,0.00015125663607526093
H3-7,0.00015121422691802446
H3-5,0.00015120524699182718
E2F2,0.00015095464679308507
MRE11,0.00015069686188723034
BIRC5,0.00015030809026829627
PPARGC1A,0.000150049766543888
CEBPA,0.00014987482409729437
RPA2,0.0001495840299952576
MDC1,0.0001492187743152166
TOP2A,0.00014878869831703596
NBN,0.00014782104747231836
CDKN2B,0.0001472376186679023
ATRIP,0.00014646850227733268
CDK7,0.0001461303721542613
CSNK2A2,0.00014535772550892077
DNMT1,0.0001446343623652173
MYCN,0.0001444256666417911
ATG7,0.0001440733134370873
ATG5,0.00014382432775824722
MAPK12,0.00014339532689783206
MAPK11,0.00014326637514324152
MAPK13,0.0001430348545752037
CDC20,0.00014292469300300866
SHC1,0.00014149070325058006
PLCG2,0.00014139067596201485
WEE1,0.00014094197308292872
TGFB1,0.00014029961417593887
SP1,0.00013955710149785445
KDR,0.00013951462928373317
PML,0.0001394111061712438
IL4,0.00013896532080535926
HSPA8,0.0001385837922145192
LYN,0.00013834424772932334
CAV1,0.00013784135615949533
MAP2K1,0.00013733585633664836
DDIT4,0.00013731780180007937
CHEK2,0.00013709169821428873
